"category","source","dialect_or_format","job_support_level","current_status","works_today","missing_for_productive_support","recommended_priority"
"sql_database","SQL Server","mssql","4_generic_sqlalchemy_gap","No SQL Server driver or adapter in current job.","None in the current Cloud image.","Install driver, ODBC/container libraries, adapter/tests for schemas and sampling.","P2"
"sql_database","Cloud SQL SQL Server","mssql","4_generic_sqlalchemy_gap","Cloud SQL can host SQL Server, but this job does not support the dialect yet.","None in the current Cloud image.","Driver and system libraries, Cloud SQL SQL Server connection validation, adapter tests.","P3"
"sql_database","Azure SQL Database","mssql","4_generic_sqlalchemy_gap","Same SQL Server family gap.","None in the current Cloud image.","Driver, ODBC libraries, network/SSL config, adapter tests.","P3"
"sql_database","AWS RDS SQL Server","mssql","4_generic_sqlalchemy_gap","Same SQL Server family gap.","None in the current Cloud image.","Driver, ODBC libraries, network path, adapter tests.","P3"
"sql_database","IBM Db2","db2","5_requires_adapter","No current support.","None.","Driver, dialect adapter, metadata and sampling implementation.","P4"
"sql_database","SAP HANA","hana","5_requires_adapter","No current support.","None.","Driver, adapter, metadata mapping, sample query tests.","P4"
"sql_database","Teradata","teradata","5_requires_adapter","No current support.","None.","Driver, adapter, metadata mapping, sample query tests.","P4"
"warehouse","Snowflake","snowflake","4_requires_driver_and_validation","SQLAlchemy ecosystem exists but not installed or validated in current job.","None in the current Cloud image.","Install connector/dialect, credentials/account handling, adapter validation.","P3"
"warehouse","Amazon Redshift","redshift","4_requires_driver_and_validation","PostgreSQL-like but not plain PostgreSQL; not validated.","None in the current Cloud image.","Install dialect/driver, metadata validation, sampling tests.","P3"
"warehouse","BigQuery","bigquery","5_requires_adapter","Not a relational SQLAlchemy target in the current design.","None.","Dedicated adapter using BigQuery client, dataset/table scope, sampling strategy, IAM tests.","P2"
"warehouse","Databricks SQL","databricks_sql","5_requires_adapter","No current support.","None.","Dedicated connector, catalog/schema mapping, sampling tests.","P4"
"warehouse","Spark SQL or Hive Metastore","spark_sql","5_requires_adapter","No current support.","None.","Connector, catalog/schema/table mapping, sampling tests.","P4"
"query_engine","Athena","athena","5_requires_adapter","No current support.","None.","Connector, S3/staging/IAM handling, metadata and sampling tests.","P4"
"query_engine","Trino","trino","5_requires_adapter","No current support.","None.","Driver/connector, catalog/schema mapping, sampling tests.","P4"
"query_engine","Presto","presto","5_requires_adapter","No current support.","None.","Driver/connector, catalog/schema mapping, sampling tests.","P4"
"analytics_database","ClickHouse","clickhouse","5_requires_adapter","No current support.","None.","Driver, adapter, metadata mapping, sample query tests.","P4"
"embedded_sql","DuckDB","duckdb","4_requires_driver_and_file_policy","Could be possible locally but is not a Cloud source path today.","None in the current Cloud image.","Driver, file/object storage policy, adapter tests.","P4"
"sql_database","Vertica","vertica","5_requires_adapter","No current support.","None.","Driver, adapter, metadata mapping, sample query tests.","P4"
"analytics_database","Apache Druid","druid_sql","5_requires_adapter","No current support.","None.","HTTP/SQL connector, metadata mapping, sampling tests.","P5"
"analytics_database","Apache Pinot","pinot_sql","5_requires_adapter","No current support.","None.","HTTP/SQL connector, metadata mapping, sampling tests.","P5"
"http_sql","ORDS REST Enabled SQL","ords","3_supported_by_table_extract_not_job","Table_Extract has an ORDS adapter and CLI path, but the Cloud BBDD Job ScanRequest currently rejects source_type=ords.","Works in Table_Extract direct CLI, not through the current Cloud job wrapper.","Extend ScanRequest and runner to translate ORDS fields to --ords-url and auth flags; add tests.","P2"
"http_api","ORDS business endpoints","json_http","5_requires_adapter","Normal ORDS endpoints are business APIs, not full SQL introspection.","None.","Endpoint contract mapping, pagination, field/table normalization, auth handling.","P4"
"http_api","Generic REST JSON","json_http","5_requires_adapter","No current support.","None.","Adapter for schemas, pagination, auth, rate limits, and table normalization.","P4"
"http_api","GraphQL API","graphql","5_requires_adapter","No current support.","None.","Schema introspection/query adapter, pagination, auth, table normalization.","P4"
"http_api","OData API","odata","5_requires_adapter","No current support.","None.","OData metadata adapter, entity set mapping, paging, auth.","P4"
"saas_api","Salesforce","salesforce","5_requires_connector","Structured SaaS source but not supported today.","None.","Connector, object/field metadata mapping, sampling and auth.","P3"
"saas_api","ServiceNow","servicenow","5_requires_connector","Structured SaaS source but not supported today.","None.","Connector, table metadata mapping, pagination and auth.","P4"
"saas_api","Jira","jira","5_requires_connector","Structured API but not supported today.","None.","Connector, object normalization, pagination and auth.","P5"
"saas_api","HubSpot","hubspot","5_requires_connector","Structured API but not supported today.","None.","Connector, object normalization, pagination and auth.","P5"
"file_table","CSV","csv","3_supported_by_table_extract_not_job","Table_Extract has CSV adapter, but this Cloud BBDD Job only exposes database source_type.","Works through Table_Extract file/materialization flows, not this job wrapper.","Extend job contract for file/object inputs if desired.","P4"
"file_table","Excel XLSX/XLSM","xlsx_xlsm","3_supported_by_table_extract_not_job","Table_Extract has Excel adapter, but this Cloud BBDD Job only exposes database source_type.","Works through Table_Extract file/materialization flows, not this job wrapper.","Extend job contract for file/object inputs if desired.","P4"
"file_table","Google Sheets","google_sheets","3_supported_after_materialization_not_job","Supported in broader Table_Extract flow after Drive materialization to XLSX, not as direct Cloud BBDD Job input.","Works in materialized file path, not this database job.","Drive/source materialization contract for cloud job if needed.","P4"
"file_table","Parquet","parquet","5_requires_adapter","No current support.","None.","Reader/adapter, schema mapping, sampling policy.","P4"
"file_table","Avro","avro","5_requires_adapter","No current support.","None.","Reader/adapter, schema mapping, sampling policy.","P5"
"file_table","ORC","orc","5_requires_adapter","No current support.","None.","Reader/adapter, schema mapping, sampling policy.","P5"
"file_table","JSON or NDJSON","json_ndjson","5_requires_adapter","No current support.","None.","Schema inference, nested field flattening, sampling policy.","P4"
"file_table","XML","xml","5_requires_adapter","No current support.","None.","Schema/path mapping, record extraction, sampling policy.","P5"
"nosql","MongoDB","mongodb","5_requires_adapter","No current support.","None.","Collection schema inference, nested document flattening, sampling and auth.","P3"
"nosql","Firestore","firestore","5_requires_adapter","No current support.","None.","Collection/document adapter, IAM/auth, sampling and schema inference.","P4"
"nosql","DynamoDB","dynamodb","5_requires_adapter","No current support.","None.","Table/key schema adapter, IAM/auth, sampling and projection.","P4"
"nosql","Cassandra","cassandra","5_requires_adapter","No current support.","None.","Driver, keyspace/table metadata, sampling tests.","P4"
"search_index","Elasticsearch","elasticsearch","5_requires_adapter","No current support.","None.","Index mapping adapter, document sampling, auth.","P4"
"search_index","OpenSearch","opensearch","5_requires_adapter","No current support.","None.","Index mapping adapter, document sampling, auth.","P4"
